iter	RMSE
0	0.2815453364
1	0.222585515
2	0.189101865
3	0.1686382227
4	0.1586912255
5	0.1492127843
6	0.1443948669
7	0.1399208342
8	0.1365788824
9	0.1322371285
10	0.129198595
11	0.1260220554
12	0.1244909731
13	0.1205736572
14	0.1180525498
15	0.1155560363
16	0.1126817303
17	0.1102973374
18	0.1076636902
19	0.1045193631
20	0.1036931499
21	0.1014329841
22	0.09875207639
23	0.09689289055
24	0.09484269878
25	0.09349189093
26	0.09097012652
27	0.0894130826
28	0.08760757999
29	0.08682706679
30	0.08546743914
31	0.08402966451
32	0.08236438299
33	0.08064704533
34	0.07935764774
35	0.07805958331
36	0.07725752295
37	0.07614803324
38	0.07526987567
39	0.07356568847
40	0.07245321113
41	0.07157415507
42	0.07094940114
43	0.07021105393
44	0.06939291205
45	0.06925900127
46	0.06758069654
47	0.06635558155
48	0.06537678146
49	0.06427978156
50	0.06372775544
51	0.06295685341
52	0.06173590381
53	0.06049775573
54	0.05973962742
55	0.05963075661
56	0.05862326716
57	0.05799037691
58	0.05671044546
59	0.05523208794
60	0.05508850701
61	0.05473723151
62	0.05389455996
63	0.05339945671
64	0.05268187852
65	0.0519501138
66	0.0514804303
67	0.05126362009
68	0.05070773358
69	0.04988769286
70	0.04922913933
71	0.04894168972
72	0.04813341824
73	0.04731778656
74	0.0464737117
75	0.04639658776
76	0.04580616106
77	0.04515107291
78	0.04450907489
79	0.04394895876
80	0.04353752721
81	0.04299121131
82	0.04255291474
83	0.04192721626
84	0.04117751223
85	0.04077928858
86	0.04064148252
87	0.0406016738
88	0.04019072163
89	0.03964929666
90	0.03899647512
91	0.0386804509
92	0.03831229243
93	0.03790326952
94	0.03762717966
95	0.03738842595
96	0.03691336075
97	0.03686710946
98	0.0367883121
99	0.03619523528
100	0.03579239008
101	0.0350267524
102	0.03471815672
103	0.0342924822
104	0.03403303899
105	0.03350173918
106	0.03312310379
107	0.03288098564
108	0.03231265909
109	0.0320163713
110	0.03175254242
111	0.03172436229
112	0.03121046998
113	0.03092510534
114	0.03037663401
115	0.03005231597
116	0.0297394001
117	0.0294423659
118	0.02908789997
119	0.02866744201
120	0.02855993878
121	0.02854005616
122	0.02851805082
123	0.0282834578
124	0.02777872972
125	0.0274532698
126	0.02709120606
127	0.02671224746
128	0.026681392
129	0.02626527163
130	0.02613422089
131	0.02594304056
132	0.02567701938
133	0.02547172583
134	0.02521841585
135	0.02499305269
136	0.02464736807
137	0.02423574512
138	0.02422104673
139	0.02404046981
140	0.02388646398
141	0.02344163987
142	0.02341523294
143	0.02311657144
144	0.02284716726
145	0.02269875046
146	0.02236899582
147	0.02207626164
148	0.02170040535
149	0.02162532899
150	0.02131714127
151	0.02107956676
152	0.02090523036
153	0.0206718205
154	0.02041309371
155	0.02014187501
156	0.01999451575
157	0.01985618974
158	0.01973070016
159	0.01950180726
160	0.01947066267
161	0.01943453244
162	0.01915393223
163	0.01911200958
164	0.0189868851
165	0.0188725198
166	0.01859084646
167	0.01856025371
168	0.01842040795
169	0.01823759988
170	0.01806202055
171	0.01792659612
172	0.01772902665
173	0.01747416033
174	0.01722891128
175	0.01716521191
176	0.01690558764
177	0.01660837562
178	0.01655791709
179	0.0164245923
180	0.01629358975
181	0.01607520955
182	0.01605649945
183	0.01592130739
184	0.01563460252
185	0.01562492755
186	0.01544360979
187	0.01540552698
188	0.015379163
189	0.01528330882
190	0.0151387975
191	0.0149073448
192	0.01476444259
193	0.01462514186
194	0.01461417165
195	0.01450509229
196	0.01427542673
197	0.01409656211
198	0.01395510634
199	0.01382652297
